Timestamp,Temperature,Humidity
10:42:54 | 6-5-2024,23.72,48.36
10:43:54 | 6-5-2024,23.76,48.40
10:44:54 | 6-5-2024,23.76,48.18
10:45:54 | 6-5-2024,23.76,48.24
10:46:54 | 6-5-2024,23.78,48.26
10:47:54 | 6-5-2024,23.79,48.17
10:48:54 | 6-5-2024,23.80,48.15
10:49:54 | 6-5-2024,23.79,48.23
10:50:54 | 6-5-2024,23.78,48.30
10:51:54 | 6-5-2024,23.78,48.25
10:52:54 | 6-5-2024,23.78,48.27
10:53:54 | 6-5-2024,23.79,48.34
10:54:54 | 6-5-2024,23.79,48.33
10:55:54 | 6-5-2024,23.81,48.35
10:56:54 | 6-5-2024,23.81,48.39
10:57:54 | 6-5-2024,23.83,48.32
10:58:54 | 6-5-2024,23.81,48.37
10:59:54 | 6-5-2024,23.82,48.41
11:0:54 | 6-5-2024,23.84,48.33
11:1:54 | 6-5-2024,23.83,48.34
11:2:54 | 6-5-2024,23.83,48.36
11:3:54 | 6-5-2024,23.84,48.43
11:4:54 | 6-5-2024,23.85,48.32
11:5:54 | 6-5-2024,23.86,48.30
11:6:54 | 6-5-2024,23.86,48.33
11:7:54 | 6-5-2024,23.87,48.38
11:8:54 | 6-5-2024,23.88,48.41
11:9:54 | 6-5-2024,23.90,48.27
11:10:54 | 6-5-2024,23.89,48.22
11:11:54 | 6-5-2024,23.91,48.32
11:12:54 | 6-5-2024,23.93,48.27
11:13:54 | 6-5-2024,23.94,48.22
11:14:54 | 6-5-2024,23.94,48.30
11:15:54 | 6-5-2024,23.96,48.20
11:16:54 | 6-5-2024,23.96,48.23
11:17:54 | 6-5-2024,23.97,48.20
11:18:54 | 6-5-2024,23.95,48.33
11:19:54 | 6-5-2024,23.94,48.27
11:20:54 | 6-5-2024,23.95,48.30
11:21:54 | 6-5-2024,23.97,48.27
11:22:54 | 6-5-2024,23.95,48.26
11:23:54 | 6-5-2024,23.96,48.24
11:24:54 | 6-5-2024,23.94,48.31
11:25:54 | 6-5-2024,23.93,48.33
11:26:54 | 6-5-2024,23.93,48.42
11:27:54 | 6-5-2024,23.95,48.40
11:28:54 | 6-5-2024,23.94,48.42
11:29:54 | 6-5-2024,23.96,48.40
11:30:54 | 6-5-2024,23.97,48.32
11:31:54 | 6-5-2024,23.93,48.38
11:32:54 | 6-5-2024,23.92,48.51
11:33:54 | 6-5-2024,23.94,48.54
11:34:54 | 6-5-2024,23.93,48.48
11:35:54 | 6-5-2024,23.95,48.50
11:36:54 | 6-5-2024,23.94,48.51
11:37:54 | 6-5-2024,23.96,48.49
11:38:54 | 6-5-2024,23.98,48.45
11:39:54 | 6-5-2024,23.94,48.40
11:40:54 | 6-5-2024,23.94,48.46
11:41:54 | 6-5-2024,23.95,48.38
11:42:54 | 6-5-2024,23.95,48.46
11:43:54 | 6-5-2024,23.96,48.47
11:44:54 | 6-5-2024,23.97,48.29
11:45:54 | 6-5-2024,23.97,48.39
11:46:54 | 6-5-2024,23.98,48.34
11:47:54 | 6-5-2024,23.98,48.35
11:48:54 | 6-5-2024,23.97,48.22
11:49:54 | 6-5-2024,23.97,48.20
11:50:54 | 6-5-2024,23.97,48.33
11:51:54 | 6-5-2024,24.00,48.29
11:52:54 | 6-5-2024,24.01,48.26
11:53:54 | 6-5-2024,24.01,48.21
11:54:54 | 6-5-2024,24.02,48.21
11:55:54 | 6-5-2024,24.01,48.15
11:56:54 | 6-5-2024,24.03,48.21
11:57:54 | 6-5-2024,24.06,48.14
11:58:54 | 6-5-2024,24.05,48.17
11:59:54 | 6-5-2024,24.08,48.17
12:0:54 | 6-5-2024,24.07,48.09
12:1:54 | 6-5-2024,24.06,48.13
12:2:54 | 6-5-2024,24.05,48.21
12:3:54 | 6-5-2024,24.04,48.22
12:4:54 | 6-5-2024,24.03,48.33
12:5:54 | 6-5-2024,24.05,48.23
12:6:54 | 6-5-2024,24.06,48.20
12:7:54 | 6-5-2024,24.03,48.31
12:8:54 | 6-5-2024,24.06,48.26
12:9:54 | 6-5-2024,24.06,48.21
12:10:54 | 6-5-2024,24.06,48.32
12:11:54 | 6-5-2024,24.03,48.25
12:12:54 | 6-5-2024,24.04,48.28
12:13:54 | 6-5-2024,24.03,48.37
12:14:54 | 6-5-2024,24.02,48.31
12:15:54 | 6-5-2024,24.01,48.32
12:16:54 | 6-5-2024,24.02,48.42
12:17:54 | 6-5-2024,24.03,48.32
12:18:54 | 6-5-2024,24.01,48.42
12:19:54 | 6-5-2024,24.05,48.43
12:20:54 | 6-5-2024,24.04,48.36
12:21:54 | 6-5-2024,24.05,48.42
12:22:54 | 6-5-2024,24.05,48.31
12:23:54 | 6-5-2024,24.05,48.33
12:24:54 | 6-5-2024,24.08,48.35
12:25:54 | 6-5-2024,24.08,48.32
12:26:54 | 6-5-2024,24.10,48.31
12:27:54 | 6-5-2024,24.10,48.28
12:28:54 | 6-5-2024,24.10,48.21
12:29:54 | 6-5-2024,24.10,48.27
12:30:54 | 6-5-2024,24.10,48.24
12:31:54 | 6-5-2024,24.08,48.37
12:32:54 | 6-5-2024,24.08,48.40
12:33:54 | 6-5-2024,24.10,48.31
12:34:54 | 6-5-2024,24.12,48.30
12:35:54 | 6-5-2024,24.12,48.30
12:36:54 | 6-5-2024,24.11,48.32
12:37:54 | 6-5-2024,24.10,48.32
12:38:54 | 6-5-2024,24.09,48.45
12:39:54 | 6-5-2024,24.11,48.42
12:40:54 | 6-5-2024,24.10,48.40
12:41:54 | 6-5-2024,24.07,48.51
12:42:54 | 6-5-2024,24.07,48.54
12:43:54 | 6-5-2024,24.08,48.46
12:44:54 | 6-5-2024,24.08,48.51
12:45:54 | 6-5-2024,24.09,48.64
12:46:54 | 6-5-2024,24.09,48.78
12:47:54 | 6-5-2024,24.05,49.19
12:48:54 | 6-5-2024,24.03,49.20
12:49:54 | 6-5-2024,24.01,49.23
12:50:54 | 6-5-2024,24.02,49.27
12:51:54 | 6-5-2024,24.04,49.14
12:52:54 | 6-5-2024,24.11,49.74
12:53:54 | 6-5-2024,24.17,49.26
12:54:54 | 6-5-2024,24.20,49.16
12:55:54 | 6-5-2024,24.25,49.40
12:56:54 | 6-5-2024,24.27,49.01
12:57:54 | 6-5-2024,24.30,49.10
12:58:54 | 6-5-2024,24.31,49.25
12:59:54 | 6-5-2024,24.35,48.76
13:0:54 | 6-5-2024,24.34,48.76
13:1:54 | 6-5-2024,24.39,48.71
13:2:54 | 6-5-2024,24.39,48.46
13:3:54 | 6-5-2024,24.41,48.55
13:4:54 | 6-5-2024,24.42,48.73
13:5:54 | 6-5-2024,24.44,48.55
13:6:54 | 6-5-2024,24.44,48.59
13:7:54 | 6-5-2024,24.47,48.37
13:8:54 | 6-5-2024,24.47,48.43
13:9:54 | 6-5-2024,24.47,48.50
13:10:54 | 6-5-2024,24.48,48.49
13:11:54 | 6-5-2024,24.50,48.42
13:12:54 | 6-5-2024,24.50,48.47
13:13:54 | 6-5-2024,24.51,48.59
13:14:54 | 6-5-2024,24.50,48.42
13:15:54 | 6-5-2024,24.48,48.34
13:16:54 | 6-5-2024,24.51,48.46
13:17:54 | 6-5-2024,24.53,48.21
13:18:54 | 6-5-2024,24.56,48.41
13:19:54 | 6-5-2024,24.53,48.13
13:20:54 | 6-5-2024,24.49,48.19
13:21:54 | 6-5-2024,24.50,48.42
13:22:54 | 6-5-2024,24.50,48.41
13:23:54 | 6-5-2024,24.51,48.50
13:24:54 | 6-5-2024,24.49,48.45
13:25:54 | 6-5-2024,24.51,48.48
13:26:54 | 6-5-2024,24.49,48.38
13:27:54 | 6-5-2024,24.48,48.27
13:28:54 | 6-5-2024,24.50,48.12
13:29:54 | 6-5-2024,24.47,48.18
13:30:54 | 6-5-2024,24.48,48.30
13:31:54 | 6-5-2024,24.50,48.23
13:32:54 | 6-5-2024,24.48,48.07
13:33:54 | 6-5-2024,24.49,48.16
13:34:54 | 6-5-2024,24.50,48.07
13:35:54 | 6-5-2024,24.52,48.04
13:36:54 | 6-5-2024,24.52,48.08
13:37:54 | 6-5-2024,24.53,48.03
13:38:53 | 6-5-2024,24.55,47.92
13:39:54 | 6-5-2024,24.54,47.78
13:40:54 | 6-5-2024,24.53,48.00
13:41:54 | 6-5-2024,24.52,47.58
13:42:54 | 6-5-2024,24.49,47.62
13:43:54 | 6-5-2024,24.50,47.72
13:44:54 | 6-5-2024,24.53,47.69
13:45:54 | 6-5-2024,24.53,47.62
13:46:54 | 6-5-2024,24.52,47.60
13:47:54 | 6-5-2024,24.51,47.59
13:48:54 | 6-5-2024,24.54,47.59
13:49:54 | 6-5-2024,24.56,47.43
13:50:54 | 6-5-2024,24.55,47.29
13:51:53 | 6-5-2024,24.55,47.44
13:52:54 | 6-5-2024,24.54,47.17
13:53:53 | 6-5-2024,24.52,47.23
13:54:54 | 6-5-2024,24.51,47.36
13:55:54 | 6-5-2024,24.52,47.44
13:56:54 | 6-5-2024,24.52,47.32
13:57:54 | 6-5-2024,24.54,47.13
13:58:54 | 6-5-2024,24.53,47.37
13:59:54 | 6-5-2024,24.53,47.01
14:0:54 | 6-5-2024,24.53,47.04
14:1:54 | 6-5-2024,24.53,47.32
14:2:53 | 6-5-2024,24.53,47.27
14:3:54 | 6-5-2024,24.54,47.23
14:4:53 | 6-5-2024,24.55,47.08
14:5:53 | 6-5-2024,24.55,47.25
14:6:54 | 6-5-2024,24.54,47.51
14:7:54 | 6-5-2024,24.56,47.46
14:8:53 | 6-5-2024,24.60,nan
14:9:54 | 6-5-2024,24.60,47.58
14:10:53 | 6-5-2024,24.61,47.99
14:11:54 | 6-5-2024,24.64,47.56
14:12:53 | 6-5-2024,24.66,47.23
14:13:54 | 6-5-2024,24.62,47.50
14:14:53 | 6-5-2024,24.63,47.64
14:15:54 | 6-5-2024,24.66,48.04
14:16:53 | 6-5-2024,24.67,47.57
14:17:54 | 6-5-2024,24.65,48.13
14:18:54 | 6-5-2024,24.64,48.03
14:19:53 | 6-5-2024,24.64,47.88
14:20:54 | 6-5-2024,24.62,48.47
14:21:54 | 6-5-2024,24.62,48.22
14:22:54 | 6-5-2024,24.62,48.55
14:23:54 | 6-5-2024,24.60,48.33
14:24:54 | 6-5-2024,24.62,48.38
14:25:53 | 6-5-2024,24.59,48.15
14:26:54 | 6-5-2024,24.63,48.22
14:27:54 | 6-5-2024,24.56,47.94
14:28:53 | 6-5-2024,24.50,47.91
14:29:54 | 6-5-2024,24.52,48.52
14:30:53 | 6-5-2024,24.55,48.56
14:31:54 | 6-5-2024,24.55,48.67
14:32:54 | 6-5-2024,24.59,48.83
14:33:53 | 6-5-2024,24.63,48.61
14:34:53 | 6-5-2024,24.63,48.27
14:35:54 | 6-5-2024,24.65,48.17
14:36:54 | 6-5-2024,24.65,48.32
14:37:53 | 6-5-2024,24.65,48.30
14:38:54 | 6-5-2024,24.64,48.81
14:39:54 | 6-5-2024,24.65,48.96
14:40:53 | 6-5-2024,24.63,48.58
14:41:54 | 6-5-2024,24.67,48.74
14:42:53 | 6-5-2024,24.68,48.42
14:43:53 | 6-5-2024,24.70,48.76
14:44:54 | 6-5-2024,24.71,48.57
14:45:54 | 6-5-2024,24.70,48.11
14:46:53 | 6-5-2024,24.69,48.37
14:47:54 | 6-5-2024,24.68,48.32
14:48:54 | 6-5-2024,24.67,48.37
14:49:53 | 6-5-2024,24.69,48.50
14:50:54 | 6-5-2024,24.69,48.44
14:51:54 | 6-5-2024,24.70,48.78
14:52:53 | 6-5-2024,24.73,48.75
14:53:53 | 6-5-2024,24.75,48.81
14:54:54 | 6-5-2024,24.76,48.44
14:55:54 | 6-5-2024,24.77,48.32
14:56:53 | 6-5-2024,24.73,48.05
14:57:53 | 6-5-2024,24.76,48.24
14:58:53 | 6-5-2024,24.72,47.98
14:59:54 | 6-5-2024,24.69,48.18
15:0:54 | 6-5-2024,24.65,48.44
15:1:53 | 6-5-2024,24.66,49.15
15:2:53 | 6-5-2024,24.69,49.17
15:3:54 | 6-5-2024,24.71,48.96
15:4:54 | 6-5-2024,24.72,48.69
15:5:54 | 6-5-2024,24.71,48.58
15:6:53 | 6-5-2024,24.71,48.49
15:7:53 | 6-5-2024,24.71,48.56
15:8:54 | 6-5-2024,24.72,48.65
15:9:54 | 6-5-2024,24.71,48.41
15:10:53 | 6-5-2024,24.70,48.10
15:11:53 | 6-5-2024,24.70,48.15
15:12:54 | 6-5-2024,24.70,48.35
15:13:54 | 6-5-2024,24.67,48.25
15:14:53 | 6-5-2024,24.63,48.11
15:15:53 | 6-5-2024,24.58,48.23
15:16:54 | 6-5-2024,24.58,48.48
15:17:53 | 6-5-2024,24.56,48.65
15:18:53 | 6-5-2024,24.57,48.89
15:19:54 | 6-5-2024,24.58,48.56
15:20:54 | 6-5-2024,24.58,49.03
15:21:53 | 6-5-2024,24.58,48.93
15:22:53 | 6-5-2024,24.54,48.87
15:23:54 | 6-5-2024,24.50,48.56
15:24:53 | 6-5-2024,24.51,49.15
15:25:53 | 6-5-2024,24.50,48.63
15:26:54 | 6-5-2024,24.55,49.19
15:27:53 | 6-5-2024,24.52,48.82
15:28:53 | 6-5-2024,24.51,48.79
15:29:54 | 6-5-2024,24.52,48.72
15:30:53 | 6-5-2024,24.61,47.90
15:31:53 | 6-5-2024,24.64,48.04
15:32:54 | 6-5-2024,24.59,47.95
15:33:53 | 6-5-2024,24.66,47.66
15:34:53 | 6-5-2024,24.67,47.70
15:35:54 | 6-5-2024,24.68,47.39
15:36:53 | 6-5-2024,24.68,nan
15:37:53 | 6-5-2024,24.68,47.74
15:38:54 | 6-5-2024,24.67,47.46
15:39:53 | 6-5-2024,24.63,47.47
15:40:53 | 6-5-2024,24.65,47.26
15:41:54 | 6-5-2024,24.63,47.57
15:42:53 | 6-5-2024,24.64,47.42
15:43:53 | 6-5-2024,24.62,47.48
15:44:54 | 6-5-2024,24.62,47.65
15:45:53 | 6-5-2024,24.63,47.83
15:46:53 | 6-5-2024,24.62,47.96
15:47:54 | 6-5-2024,24.63,48.22
15:48:53 | 6-5-2024,24.61,47.90
15:49:53 | 6-5-2024,24.62,47.82
15:50:53 | 6-5-2024,24.62,48.05
15:51:53 | 6-5-2024,24.63,47.89
15:52:53 | 6-5-2024,24.60,47.97
15:53:53 | 6-5-2024,24.53,48.23
15:54:53 | 6-5-2024,24.53,48.11
15:55:54 | 6-5-2024,24.56,48.16
15:56:53 | 6-5-2024,24.52,48.32
15:57:53 | 6-5-2024,24.57,48.29
15:58:53 | 6-5-2024,24.55,48.39
15:59:53 | 6-5-2024,24.59,47.96
16:0:53 | 6-5-2024,24.55,48.02
16:1:53 | 6-5-2024,24.59,48.15
16:2:53 | 6-5-2024,24.59,48.24
16:3:54 | 6-5-2024,24.59,48.09
16:4:53 | 6-5-2024,24.59,48.32
16:5:53 | 6-5-2024,24.57,48.43
16:6:53 | 6-5-2024,24.54,48.21
16:7:53 | 6-5-2024,24.52,48.22
16:8:54 | 6-5-2024,24.54,48.30
16:9:53 | 6-5-2024,24.54,48.18
16:10:53 | 6-5-2024,24.50,48.31
16:11:53 | 6-5-2024,24.52,48.35
16:12:53 | 6-5-2024,24.52,48.52
16:13:54 | 6-5-2024,24.52,48.35
16:14:53 | 6-5-2024,24.52,48.58
16:15:53 | 6-5-2024,24.51,48.55
16:16:53 | 6-5-2024,24.52,48.59
16:17:53 | 6-5-2024,24.50,48.54
16:18:54 | 6-5-2024,24.52,48.44
16:19:53 | 6-5-2024,24.51,48.64
16:20:53 | 6-5-2024,24.46,48.89
16:21:53 | 6-5-2024,24.50,48.48
16:22:53 | 6-5-2024,24.48,48.67
16:23:53 | 6-5-2024,24.43,48.61
16:24:53 | 6-5-2024,24.44,48.73
16:25:53 | 6-5-2024,24.42,48.83
16:26:53 | 6-5-2024,24.44,48.81
16:27:53 | 6-5-2024,24.43,48.80
16:28:53 | 6-5-2024,24.35,48.73
16:29:53 | 6-5-2024,24.36,48.71
16:30:53 | 6-5-2024,24.39,48.88
16:31:53 | 6-5-2024,24.37,48.99
16:32:53 | 6-5-2024,24.39,49.20
16:33:53 | 6-5-2024,24.39,48.84
16:34:53 | 6-5-2024,24.37,48.95
16:35:53 | 6-5-2024,24.38,48.89
16:36:53 | 6-5-2024,24.33,48.80
16:37:53 | 6-5-2024,24.33,49.05
16:38:53 | 6-5-2024,24.31,49.18
16:39:53 | 6-5-2024,24.28,49.08
16:40:53 | 6-5-2024,24.30,48.95
16:41:53 | 6-5-2024,24.28,48.93
16:42:53 | 6-5-2024,24.30,49.09
16:43:53 | 6-5-2024,24.29,49.18
16:44:53 | 6-5-2024,24.31,49.10
16:45:53 | 6-5-2024,24.27,49.13
16:46:53 | 6-5-2024,24.27,49.17
16:47:53 | 6-5-2024,24.26,49.35
16:48:53 | 6-5-2024,24.27,49.33
16:49:53 | 6-5-2024,24.30,49.33
16:50:53 | 6-5-2024,24.30,49.21
16:51:53 | 6-5-2024,24.30,49.38
16:52:53 | 6-5-2024,24.34,49.06
16:53:53 | 6-5-2024,24.34,48.86
16:54:53 | 6-5-2024,24.32,48.69
16:55:53 | 6-5-2024,24.30,48.98
16:56:53 | 6-5-2024,24.28,49.05
16:57:53 | 6-5-2024,24.25,49.07
16:58:53 | 6-5-2024,24.26,49.25
16:59:53 | 6-5-2024,24.22,49.27
17:0:53 | 6-5-2024,24.21,49.32
17:1:53 | 6-5-2024,24.20,49.31
17:2:53 | 6-5-2024,24.19,49.42
17:3:53 | 6-5-2024,24.13,49.53
17:4:53 | 6-5-2024,24.12,49.41
17:5:53 | 6-5-2024,24.15,49.59
17:6:53 | 6-5-2024,24.17,49.51
17:7:53 | 6-5-2024,24.15,49.42
17:8:53 | 6-5-2024,24.16,49.47
17:9:53 | 6-5-2024,24.11,49.50
17:10:53 | 6-5-2024,24.07,49.57
17:11:53 | 6-5-2024,23.90,49.97
17:12:53 | 6-5-2024,23.76,50.39
17:13:53 | 6-5-2024,23.72,50.32
17:14:53 | 6-5-2024,23.70,50.44
17:15:53 | 6-5-2024,23.68,50.45
17:16:53 | 6-5-2024,23.76,50.40
17:17:53 | 6-5-2024,23.80,50.37
17:18:53 | 6-5-2024,23.85,50.24
17:19:53 | 6-5-2024,23.83,50.15
17:20:53 | 6-5-2024,23.87,50.15
17:21:53 | 6-5-2024,23.83,50.11
17:22:53 | 6-5-2024,23.89,50.19
17:23:53 | 6-5-2024,23.79,50.39
17:24:53 | 6-5-2024,23.75,50.38
17:25:53 | 6-5-2024,23.80,50.31
17:26:53 | 6-5-2024,23.84,50.49
17:27:53 | 6-5-2024,23.90,50.25
17:28:53 | 6-5-2024,23.86,50.31
17:29:53 | 6-5-2024,23.89,50.30
17:30:53 | 6-5-2024,23.91,50.17
17:31:53 | 6-5-2024,23.84,50.37
17:32:53 | 6-5-2024,23.91,50.20
17:33:53 | 6-5-2024,23.85,50.28
17:34:53 | 6-5-2024,23.88,50.25
17:35:53 | 6-5-2024,23.85,50.25
17:36:53 | 6-5-2024,23.87,50.30
17:37:53 | 6-5-2024,23.90,50.33
17:38:53 | 6-5-2024,23.88,50.29
17:39:53 | 6-5-2024,23.86,50.58
17:40:53 | 6-5-2024,23.87,50.47
17:41:53 | 6-5-2024,23.82,50.54
17:42:53 | 6-5-2024,23.80,50.65
17:43:53 | 6-5-2024,23.83,50.44
17:44:53 | 6-5-2024,23.73,50.68
17:45:53 | 6-5-2024,23.73,50.81
17:46:53 | 6-5-2024,23.77,50.42
17:47:53 | 6-5-2024,23.76,50.81
17:48:53 | 6-5-2024,23.77,50.59
17:49:53 | 6-5-2024,23.72,50.70
17:50:53 | 6-5-2024,23.74,50.61
17:51:53 | 6-5-2024,23.73,50.81
17:52:53 | 6-5-2024,23.65,50.91
17:53:53 | 6-5-2024,23.70,50.75
17:54:53 | 6-5-2024,23.71,50.65
17:55:53 | 6-5-2024,23.73,50.67
17:56:53 | 6-5-2024,23.66,50.92
17:57:53 | 6-5-2024,23.69,50.89
17:58:53 | 6-5-2024,23.61,50.93
17:59:53 | 6-5-2024,23.64,50.75
18:0:53 | 6-5-2024,23.68,50.71
18:1:53 | 6-5-2024,23.71,50.58
18:2:53 | 6-5-2024,23.78,50.74
18:3:53 | 6-5-2024,23.77,50.49
18:4:53 | 6-5-2024,23.69,50.57
18:5:53 | 6-5-2024,23.69,50.71
18:6:53 | 6-5-2024,23.63,50.57
18:7:53 | 6-5-2024,23.65,50.56
18:8:53 | 6-5-2024,23.67,50.75
18:9:53 | 6-5-2024,23.69,50.60
18:10:53 | 6-5-2024,23.70,50.56
18:11:53 | 6-5-2024,23.76,50.45
18:12:53 | 6-5-2024,23.71,50.54
18:13:53 | 6-5-2024,23.61,50.59
18:14:53 | 6-5-2024,23.72,50.61
18:15:53 | 6-5-2024,23.70,50.65
18:16:53 | 6-5-2024,23.72,50.64
18:17:53 | 6-5-2024,23.81,50.23
18:18:53 | 6-5-2024,23.76,50.42
18:19:53 | 6-5-2024,23.71,50.45
18:20:53 | 6-5-2024,23.74,50.34
18:21:53 | 6-5-2024,23.73,50.48
18:22:53 | 6-5-2024,23.67,50.56
18:23:53 | 6-5-2024,23.69,50.63
18:24:53 | 6-5-2024,23.73,50.63
18:25:53 | 6-5-2024,23.68,50.78
18:26:53 | 6-5-2024,23.67,50.76
18:27:53 | 6-5-2024,23.70,50.72
18:28:53 | 6-5-2024,23.68,50.64
18:29:53 | 6-5-2024,23.71,50.60
18:30:53 | 6-5-2024,23.72,50.55
18:31:53 | 6-5-2024,23.70,50.64
18:32:53 | 6-5-2024,23.70,50.63
18:33:53 | 6-5-2024,23.69,50.55
18:34:53 | 6-5-2024,23.70,50.53
18:35:53 | 6-5-2024,23.67,50.77
18:36:53 | 6-5-2024,23.68,50.67
18:37:53 | 6-5-2024,23.68,50.75
18:38:53 | 6-5-2024,23.71,50.89
18:39:53 | 6-5-2024,23.72,50.82
18:40:53 | 6-5-2024,23.75,50.80
18:41:53 | 6-5-2024,23.77,50.82
18:42:53 | 6-5-2024,23.78,50.80
18:43:53 | 6-5-2024,23.74,50.82
18:44:53 | 6-5-2024,23.73,50.87
18:45:53 | 6-5-2024,23.68,51.10
18:46:53 | 6-5-2024,23.68,51.02
18:47:53 | 6-5-2024,23.66,51.01
18:48:53 | 6-5-2024,23.62,51.18
18:49:53 | 6-5-2024,23.66,51.27
18:50:53 | 6-5-2024,23.54,51.38
18:51:53 | 6-5-2024,23.61,51.37
18:52:53 | 6-5-2024,23.68,51.43
18:53:53 | 6-5-2024,23.67,51.20
18:54:53 | 6-5-2024,23.66,51.28
18:55:53 | 6-5-2024,23.64,51.37
18:56:53 | 6-5-2024,23.63,51.33
18:57:53 | 6-5-2024,23.66,51.41
18:58:53 | 6-5-2024,23.65,51.30
18:59:53 | 6-5-2024,23.67,51.43
19:0:53 | 6-5-2024,23.72,51.26
19:1:53 | 6-5-2024,23.68,51.29
19:2:53 | 6-5-2024,23.99,51.04
19:3:53 | 6-5-2024,23.93,50.50
19:4:53 | 6-5-2024,23.99,50.46
19:5:53 | 6-5-2024,24.07,50.39
19:6:53 | 6-5-2024,24.07,50.28
19:7:53 | 6-5-2024,24.20,50.12
19:8:53 | 6-5-2024,24.42,49.84
19:9:53 | 6-5-2024,24.60,49.65
19:10:53 | 6-5-2024,24.71,49.09
19:11:53 | 6-5-2024,24.84,48.88
19:12:53 | 6-5-2024,24.88,48.58
19:13:53 | 6-5-2024,24.98,48.40
19:14:53 | 6-5-2024,24.99,48.21
19:15:53 | 6-5-2024,25.02,47.99
19:16:53 | 6-5-2024,25.18,47.81
19:17:53 | 6-5-2024,25.27,47.35
19:18:53 | 6-5-2024,25.23,47.41
19:19:53 | 6-5-2024,25.26,47.58
19:20:53 | 6-5-2024,25.28,47.55
19:21:53 | 6-5-2024,25.30,47.59
19:22:53 | 6-5-2024,25.39,47.33
19:23:59 | 6-5-2024,25.36,47.28
19:24:53 | 6-5-2024,25.20,47.44
19:25:53 | 6-5-2024,25.09,47.63
19:26:53 | 6-5-2024,25.00,47.91
