Timestamp,Temperature,Humidity
16:39:0 | 9-5-2024,19.86,53.85
16:39:59 | 9-5-2024,19.83,53.81
16:41:0 | 9-5-2024,19.85,53.84
16:42:0 | 9-5-2024,19.84,53.89
16:43:0 | 9-5-2024,19.82,53.83
16:43:59 | 9-5-2024,19.83,53.91
16:45:0 | 9-5-2024,19.88,54.01
16:46:0 | 9-5-2024,19.86,53.78
16:47:0 | 9-5-2024,19.81,54.20
16:47:59 | 9-5-2024,19.85,54.42
16:49:0 | 9-5-2024,19.82,54.01
16:50:0 | 9-5-2024,19.80,53.99
16:50:59 | 9-5-2024,19.76,54.27
16:51:59 | 9-5-2024,19.79,54.59
16:53:0 | 9-5-2024,19.80,54.17
16:54:0 | 9-5-2024,19.79,54.62
16:54:59 | 9-5-2024,19.81,54.23
16:56:0 | 9-5-2024,19.81,54.70
16:57:0 | 9-5-2024,19.79,54.49
16:58:0 | 9-5-2024,19.79,54.54
16:58:59 | 9-5-2024,19.77,54.24
17:0:0 | 9-5-2024,19.76,54.28
17:1:0 | 9-5-2024,19.75,54.34
17:1:59 | 9-5-2024,19.75,54.59
17:2:59 | 9-5-2024,19.76,54.55
17:4:0 | 9-5-2024,19.78,54.50
17:5:0 | 9-5-2024,19.70,54.52
17:5:59 | 9-5-2024,19.71,54.92
17:7:0 | 9-5-2024,19.69,54.45
17:8:0 | 9-5-2024,19.66,54.77
17:8:59 | 9-5-2024,19.66,54.72
17:9:59 | 9-5-2024,19.64,54.86
17:11:0 | 9-5-2024,19.65,54.93
17:11:59 | 9-5-2024,19.64,54.93
17:12:59 | 9-5-2024,19.61,55.17
17:14:0 | 9-5-2024,19.64,54.93
17:15:0 | 9-5-2024,19.64,54.92
17:15:59 | 9-5-2024,19.61,54.91
17:17:0 | 9-5-2024,19.60,55.21
17:18:0 | 9-5-2024,19.63,55.23
17:18:59 | 9-5-2024,19.65,55.21
17:20:0 | 9-5-2024,19.61,54.72
17:21:0 | 9-5-2024,19.55,54.92
17:21:59 | 9-5-2024,19.54,55.00
17:23:0 | 9-5-2024,19.50,55.09
17:24:0 | 9-5-2024,19.46,55.18
17:24:59 | 9-5-2024,19.41,55.50
17:26:0 | 9-5-2024,19.41,55.44
17:26:59 | 9-5-2024,19.43,55.48
17:27:59 | 9-5-2024,19.38,55.42
17:29:0 | 9-5-2024,19.35,55.44
17:29:59 | 9-5-2024,19.31,55.57
17:31:0 | 9-5-2024,19.28,55.48
17:31:59 | 9-5-2024,19.28,55.62
17:32:59 | 9-5-2024,19.27,56.40
17:33:59 | 9-5-2024,19.27,55.54
17:35:0 | 9-5-2024,19.24,55.60
17:35:59 | 9-5-2024,19.19,55.75
17:37:0 | 9-5-2024,19.17,55.90
17:37:59 | 9-5-2024,19.17,55.99
17:39:0 | 9-5-2024,19.12,56.03
17:39:59 | 9-5-2024,19.10,56.20
17:40:59 | 9-5-2024,19.11,56.10
17:41:59 | 9-5-2024,19.11,56.28
17:42:59 | 9-5-2024,19.13,56.21
17:44:0 | 9-5-2024,19.10,56.23
17:44:59 | 9-5-2024,19.09,56.26
17:46:0 | 9-5-2024,19.09,56.45
17:46:59 | 9-5-2024,19.07,56.57
17:48:0 | 9-5-2024,19.10,56.39
17:48:59 | 9-5-2024,19.08,56.28
17:50:0 | 9-5-2024,19.08,56.37
17:50:59 | 9-5-2024,19.09,56.28
17:52:0 | 9-5-2024,19.12,56.19
17:52:59 | 9-5-2024,19.14,56.30
17:53:59 | 9-5-2024,19.09,56.32
17:54:59 | 9-5-2024,19.11,56.51
17:55:59 | 9-5-2024,19.17,56.18
17:56:59 | 9-5-2024,19.19,56.20
17:57:59 | 9-5-2024,19.20,56.12
17:59:0 | 9-5-2024,19.20,56.14
17:59:59 | 9-5-2024,19.15,56.20
18:1:0 | 9-5-2024,19.22,56.31
18:1:59 | 9-5-2024,19.20,56.03
18:3:0 | 9-5-2024,19.20,56.01
18:3:59 | 9-5-2024,19.20,55.84
18:4:59 | 9-5-2024,19.25,55.76
18:5:59 | 9-5-2024,19.23,55.68
18:6:59 | 9-5-2024,19.26,55.55
18:7:59 | 9-5-2024,19.25,55.54
18:8:59 | 9-5-2024,19.25,55.52
18:9:59 | 9-5-2024,19.24,55.63
18:10:59 | 9-5-2024,19.22,55.74
18:12:0 | 9-5-2024,19.22,55.73
18:12:59 | 9-5-2024,19.19,55.76
18:14:0 | 9-5-2024,19.21,55.83
18:14:59 | 9-5-2024,19.19,55.70
18:16:0 | 9-5-2024,19.22,55.65
18:16:59 | 9-5-2024,19.23,55.59
18:17:59 | 9-5-2024,19.25,55.56
18:18:59 | 9-5-2024,19.29,55.37
18:19:59 | 9-5-2024,19.29,55.22
18:20:59 | 9-5-2024,19.35,55.34
18:21:59 | 9-5-2024,19.39,55.11
18:22:59 | 9-5-2024,19.34,55.18
18:23:59 | 9-5-2024,19.30,55.28
18:24:59 | 9-5-2024,19.29,55.53
18:25:59 | 9-5-2024,19.27,55.77
18:26:59 | 9-5-2024,19.27,55.93
18:27:59 | 9-5-2024,19.27,55.92
18:28:59 | 9-5-2024,19.29,55.93
18:29:59 | 9-5-2024,19.29,56.04
18:30:59 | 9-5-2024,19.41,56.39
18:31:59 | 9-5-2024,19.65,56.05
18:32:59 | 9-5-2024,19.83,55.76
18:33:59 | 9-5-2024,20.00,55.55
18:34:59 | 9-5-2024,20.17,55.14
18:35:59 | 9-5-2024,20.28,54.81
18:36:59 | 9-5-2024,20.37,54.47
18:37:59 | 9-5-2024,20.48,54.22
18:38:59 | 9-5-2024,20.50,54.18
18:39:59 | 9-5-2024,20.55,53.98
18:40:59 | 9-5-2024,20.58,53.84
18:41:59 | 9-5-2024,20.67,53.77
18:42:59 | 9-5-2024,20.72,53.79
18:43:59 | 9-5-2024,20.65,53.81
18:44:59 | 9-5-2024,20.75,53.90
18:45:59 | 9-5-2024,20.77,53.83
18:46:59 | 9-5-2024,20.89,53.49
18:47:59 | 9-5-2024,20.79,53.59
18:48:59 | 9-5-2024,20.55,54.22
18:49:59 | 9-5-2024,20.40,54.59
18:50:59 | 9-5-2024,20.25,54.73
18:51:59 | 9-5-2024,20.13,55.37
18:52:59 | 9-5-2024,20.06,55.75
18:53:59 | 9-5-2024,19.91,56.09
18:54:59 | 9-5-2024,19.83,56.55
18:55:59 | 9-5-2024,19.74,56.80
18:56:59 | 9-5-2024,19.63,57.39
18:57:59 | 9-5-2024,19.56,57.61
18:58:59 | 9-5-2024,19.49,57.86
18:59:59 | 9-5-2024,19.36,58.41
19:0:59 | 9-5-2024,19.33,58.79
19:1:59 | 9-5-2024,19.36,58.88
19:2:59 | 9-5-2024,19.31,58.78
19:3:59 | 9-5-2024,19.27,58.93
19:4:59 | 9-5-2024,19.28,59.28
19:5:59 | 9-5-2024,19.23,59.13
19:6:59 | 9-5-2024,19.26,59.24
19:7:59 | 9-5-2024,19.29,59.70
19:8:59 | 9-5-2024,19.36,59.30
19:9:59 | 9-5-2024,19.44,58.71
19:10:59 | 9-5-2024,19.39,58.72
19:11:59 | 9-5-2024,19.30,58.70
19:12:59 | 9-5-2024,19.15,58.84
19:13:59 | 9-5-2024,19.11,59.25
19:14:59 | 9-5-2024,19.09,59.41
19:15:59 | 9-5-2024,19.05,59.78
19:16:59 | 9-5-2024,19.10,59.48
19:17:59 | 9-5-2024,19.03,59.53
19:18:59 | 9-5-2024,19.05,59.72
19:19:59 | 9-5-2024,19.06,59.84
19:20:59 | 9-5-2024,19.07,59.61
19:21:59 | 9-5-2024,19.05,59.98
19:22:59 | 9-5-2024,19.04,59.87
19:23:59 | 9-5-2024,19.07,59.86
19:24:59 | 9-5-2024,19.07,59.99
19:25:59 | 9-5-2024,19.07,59.87
19:26:59 | 9-5-2024,19.03,60.08
19:27:59 | 9-5-2024,19.07,60.06
19:28:59 | 9-5-2024,19.09,60.13
19:29:59 | 9-5-2024,19.11,60.10
19:30:59 | 9-5-2024,19.17,60.07
19:31:59 | 9-5-2024,19.19,59.81
19:32:59 | 9-5-2024,19.22,59.86
19:33:59 | 9-5-2024,19.24,59.94
19:34:59 | 9-5-2024,19.24,59.68
19:35:59 | 9-5-2024,19.26,59.75
19:36:59 | 9-5-2024,19.30,59.64
19:37:59 | 9-5-2024,19.33,59.77
19:38:59 | 9-5-2024,19.31,59.58
19:39:59 | 9-5-2024,19.40,59.44
19:40:59 | 9-5-2024,19.42,59.91
19:41:59 | 9-5-2024,19.38,59.66
19:42:59 | 9-5-2024,19.38,59.63
19:43:59 | 9-5-2024,19.43,59.59
19:44:59 | 9-5-2024,19.57,59.23
19:45:59 | 9-5-2024,19.50,59.29
19:46:59 | 9-5-2024,19.48,59.30
19:47:59 | 9-5-2024,19.47,59.31
19:48:59 | 9-5-2024,19.42,59.56
19:49:59 | 9-5-2024,19.32,59.71
19:50:59 | 9-5-2024,19.31,59.89
19:51:59 | 9-5-2024,19.36,60.12
19:52:59 | 9-5-2024,19.52,59.66
19:53:59 | 9-5-2024,19.78,59.20
19:54:59 | 9-5-2024,19.84,58.40
19:55:59 | 9-5-2024,20.10,57.93
19:56:59 | 9-5-2024,20.24,57.31
19:57:59 | 9-5-2024,20.31,57.13
19:58:59 | 9-5-2024,20.33,57.24
19:59:59 | 9-5-2024,20.43,56.84
20:0:59 | 9-5-2024,20.41,56.63
20:1:59 | 9-5-2024,20.38,56.69
20:2:59 | 9-5-2024,20.45,56.80
20:3:59 | 9-5-2024,20.44,56.88
20:4:59 | 9-5-2024,20.56,56.55
20:5:59 | 9-5-2024,20.55,56.26
20:6:59 | 9-5-2024,20.50,56.46
20:7:59 | 9-5-2024,20.52,56.62
20:8:59 | 9-5-2024,20.70,56.25
20:9:59 | 9-5-2024,20.70,56.09
20:10:59 | 9-5-2024,20.65,56.05
20:11:59 | 9-5-2024,20.60,56.48
20:12:59 | 9-5-2024,20.71,56.27
20:13:59 | 9-5-2024,20.79,56.00
20:14:59 | 9-5-2024,20.80,55.82
20:15:59 | 9-5-2024,20.72,55.87
20:16:59 | 9-5-2024,20.82,55.75
20:17:59 | 9-5-2024,20.88,55.58
20:18:59 | 9-5-2024,20.80,55.70
20:19:59 | 9-5-2024,20.79,55.62
20:20:59 | 9-5-2024,20.56,56.01
20:21:59 | 9-5-2024,20.41,56.42
20:22:59 | 9-5-2024,20.49,56.24
20:23:59 | 9-5-2024,20.54,56.08
20:24:59 | 9-5-2024,20.35,56.41
20:25:59 | 9-5-2024,20.38,56.38
20:26:59 | 9-5-2024,20.37,56.27
20:27:59 | 9-5-2024,20.51,55.69
20:28:59 | 9-5-2024,20.56,55.34
20:29:59 | 9-5-2024,20.32,55.44
20:30:59 | 9-5-2024,20.39,55.45
20:31:59 | 9-5-2024,20.44,54.93
20:32:59 | 9-5-2024,20.26,54.80
20:33:59 | 9-5-2024,20.03,55.25
20:34:59 | 9-5-2024,19.97,56.17
20:35:59 | 9-5-2024,20.06,56.51
20:36:59 | 9-5-2024,19.94,57.14
20:37:59 | 9-5-2024,19.85,57.69
20:38:59 | 9-5-2024,19.95,57.49
20:39:59 | 9-5-2024,19.77,57.96
20:40:59 | 9-5-2024,19.84,58.05
20:41:59 | 9-5-2024,19.76,58.12
20:42:59 | 9-5-2024,19.68,58.29
20:43:59 | 9-5-2024,19.76,57.41
20:44:59 | 9-5-2024,19.71,56.77
20:45:59 | 9-5-2024,19.67,56.72
20:46:59 | 9-5-2024,19.80,56.62
20:47:59 | 9-5-2024,19.92,56.29
20:48:59 | 9-5-2024,19.77,56.53
20:49:59 | 9-5-2024,19.63,56.73
20:50:59 | 9-5-2024,19.51,57.36
20:51:59 | 9-5-2024,19.41,57.76
20:52:59 | 9-5-2024,19.37,58.07
20:53:59 | 9-5-2024,19.32,58.14
20:54:59 | 9-5-2024,19.27,58.75
20:55:59 | 9-5-2024,19.22,59.01
20:56:59 | 9-5-2024,19.18,59.31
20:57:59 | 9-5-2024,19.14,59.42
20:58:59 | 9-5-2024,19.05,59.80
20:59:59 | 9-5-2024,19.03,59.88
21:0:59 | 9-5-2024,19.04,60.08
21:1:59 | 9-5-2024,19.17,59.63
21:2:59 | 9-5-2024,19.31,59.23
21:3:59 | 9-5-2024,19.38,58.63
21:4:59 | 9-5-2024,19.41,57.58
21:5:59 | 9-5-2024,19.40,56.86
21:6:59 | 9-5-2024,19.35,56.45
21:7:59 | 9-5-2024,19.30,56.25
21:8:59 | 9-5-2024,19.24,56.65
21:9:59 | 9-5-2024,19.12,56.77
21:10:59 | 9-5-2024,19.14,57.24
21:11:59 | 9-5-2024,19.13,56.92
21:12:59 | 9-5-2024,19.10,57.18
21:13:59 | 9-5-2024,19.13,56.44
21:14:59 | 9-5-2024,19.05,56.45
21:15:59 | 9-5-2024,18.98,56.67
21:16:59 | 9-5-2024,18.92,56.62
21:17:59 | 9-5-2024,18.84,57.14
21:18:59 | 9-5-2024,18.80,57.39
21:19:59 | 9-5-2024,18.75,57.75
21:20:59 | 9-5-2024,18.71,58.36
21:21:59 | 9-5-2024,18.67,58.64
21:22:59 | 9-5-2024,18.65,58.89
21:23:59 | 9-5-2024,18.64,59.31
21:24:59 | 9-5-2024,18.65,59.30
21:25:59 | 9-5-2024,18.65,59.66
21:26:59 | 9-5-2024,18.64,59.75
21:27:59 | 9-5-2024,18.60,59.70
21:28:59 | 9-5-2024,18.60,60.10
21:29:59 | 9-5-2024,18.62,60.68
21:30:59 | 9-5-2024,18.65,60.81
21:31:59 | 9-5-2024,18.65,61.03
21:32:59 | 9-5-2024,18.64,61.08
21:33:59 | 9-5-2024,18.62,61.38
21:34:59 | 9-5-2024,18.61,60.00
21:35:59 | 9-5-2024,18.59,59.66
21:36:59 | 9-5-2024,18.54,59.91
21:37:59 | 9-5-2024,18.53,60.40
21:38:59 | 9-5-2024,18.51,60.64
21:39:59 | 9-5-2024,18.50,60.75
21:40:59 | 9-5-2024,18.56,61.97
21:41:59 | 9-5-2024,18.59,62.35
21:42:59 | 9-5-2024,18.71,62.41
21:43:59 | 9-5-2024,18.77,62.28
21:44:59 | 9-5-2024,18.78,62.33
21:45:59 | 9-5-2024,18.86,62.19
21:46:59 | 9-5-2024,18.87,62.20
21:47:59 | 9-5-2024,18.89,62.06
21:48:59 | 9-5-2024,18.96,62.18
21:49:59 | 9-5-2024,18.98,62.05
21:50:59 | 9-5-2024,18.93,62.05
21:51:59 | 9-5-2024,18.94,62.45
21:52:59 | 9-5-2024,18.90,62.51
21:53:59 | 9-5-2024,18.82,62.73
21:54:59 | 9-5-2024,18.85,63.01
